Age,Income,Credit_Score,Years_Employed,Existing_Loans,Debt_to_Income,Savings,Loan_Amount,Loan_Approved
42,141485,778,19,2,0.39,38519,207728,1
50,96524,319,25,5,0.19,72755,7477,0
64,143416,429,34,0,0.74,16445,273281,1
57,125982,592,38,4,0.47,74954,103346,0
60,117057,431,33,4,0.6,90450,133823,0
29,25698,655,8,2,0.53,96166,254201,0
61,86809,353,32,5,0.8,29695,144667,0
53,113079,686,29,5,0.39,96970,161974,0
65,75805,564,40,4,0.37,52227,51261,1
21,51349,514,0,4,0.32,80992,93266,0
22,96777,759,0,4,0.32,31185,179181,0
54,70248,757,22,4,0.26,90692,68039,0
25,95033,342,0,1,0.79,46908,64737,0
59,127411,577,40,1,0.7,44631,187874,1
66,118239,429,33,5,0.29,48993,255105,0
45,64041,649,23,3,0.28,3078,233534,0
48,51954,843,27,0,0.13,96886,217269,1
26,28002,405,3,2,0.71,78609,55029,0
68,89783,300,34,3,0.33,24778,202911,0
46,127524,731,22,1,0.48,24397,224032,1
31,107234,605,7,1,0.73,69857,77988,0
57,144857,826,31,1,0.36,13337,293618,1
58,39738,352,28,3,0.66,7011,102409,0
39,30703,819,8,1,0.37,40855,242815,1
28,133776,629,0,3,0.58,76532,126483,0
40,69422,624,14,1,0.37,47845,257804,1
18,103106,413,0,4,0.34,21046,19426,0
63,81899,446,40,4,0.79,88030,131689,1
54,32392,465,29,0,0.51,7618,35541,1
38,64724,678,6,1,0.33,73435,235729,1
43,52299,438,17,0,0.24,32322,248791,1
63,35641,598,40,3,0.08,34797,96092,1
53,99534,575,32,0,0.58,16128,141037,1
40,26305,477,12,1,0.33,34179,127400,1
18,118262,653,0,3,0.67,68517,180196,0
68,38782,453,40,3,0.32,35073,19213,1
57,98257,500,39,4,0.33,79014,169033,0
32,125299,414,3,3,0.63,92965,291983,0
38,97963,367,6,3,0.42,38363,297469,0
64,132086,744,32,0,0.71,12697,96583,1
26,141987,744,0,5,0.49,16422,15207,0
26,40566,625,2,3,0.23,39380,108318,1
27,144591,658,0,2,0.48,96877,209486,0
69,87766,444,40,5,0.05,61857,284828,1
43,26511,574,23,4,0.28,68573,172040,1
58,134816,808,38,4,0.21,76058,270517,0
52,127765,478,21,3,0.54,22259,95685,0
69,138360,776,40,0,0.15,78534,113033,1
42,46177,713,18,5,0.27,73622,20178,1
43,24765,452,19,4,0.3,2149,293100,0
28,40354,403,6,4,0.05,23792,45692,0
55,43929,374,35,2,0.09,17390,49119,1
19,48820,427,0,3,0.28,35204,9991,0
24,131576,644,0,5,0.22,37018,272346,0
35,49523,830,14,4,0.14,94651,132492,0
44,91088,458,19,4,0.17,90583,287460,0
51,86163,837,21,4,0.68,83614,34695,0
44,97525,725,19,4,0.56,22471,268754,0
34,33780,322,2,0,0.41,15263,131092,1
60,26589,346,26,1,0.73,61309,100862,1
61,54812,824,39,2,0.07,53451,258727,1
68,113664,443,40,0,0.31,71379,202228,1
41,65939,718,13,2,0.67,78969,269746,0
42,71493,384,15,4,0.52,12559,241474,0
24,124188,715,0,2,0.79,64728,229537,0
69,113326,781,37,3,0.76,5952,197327,1
23,60953,755,0,3,0.18,62726,196333,0
41,85785,596,8,1,0.78,41610,20903,0
50,39309,411,18,1,0.76,99329,238715,1
66,74195,529,40,2,0.33,87467,13070,1
46,135662,395,20,0,0.79,3153,38217,1
60,45901,677,32,0,0.08,95447,263453,1
39,43576,455,20,4,0.55,9019,66305,0
43,51508,720,13,0,0.25,86409,20106,1
45,94711,404,24,1,0.15,98167,271161,1
67,45464,629,40,0,0.48,38929,34420,1
38,80281,738,16,4,0.28,18028,280726,0
66,36260,431,40,3,0.55,35620,84403,0
24,144997,681,4,0,0.45,49474,186623,0
34,55440,437,11,0,0.34,11623,253008,1
37,115082,569,10,1,0.19,86504,147057,1
58,125583,849,36,2,0.5,4809,282949,1
66,76683,695,40,3,0.67,93907,22107,1
37,144206,763,13,2,0.5,52046,178473,0
39,61430,749,14,4,0.51,63496,78071,0
45,21987,630,27,4,0.43,32739,160153,0
57,134778,552,36,2,0.34,54452,11846,1
66,45105,584,40,1,0.39,74324,249531,1
24,98484,573,0,5,0.79,7977,252511,0
18,138747,319,0,1,0.61,35838,237796,0
49,33026,538,22,5,0.37,69192,297069,0
30,88309,569,12,5,0.39,5134,253243,0
47,65927,717,26,1,0.42,54420,73748,1
40,95414,609,7,5,0.54,30431,250023,0
68,77535,330,35,5,0.4,70020,183769,0
36,62946,403,11,5,0.56,50565,289838,0
49,146503,485,22,3,0.3,57993,142114,1
47,76561,427,14,4,0.36,59035,144085,0
46,30377,509,18,5,0.7,48312,36285,0
66,73592,713,40,4,0.3,39916,47446,1
62,27347,580,40,4,0.77,93810,8754,1
46,53776,552,17,3,0.18,21693,278331,0
47,23783,318,24,4,0.23,39559,259170,0
33,75798,435,3,2,0.4,83839,71082,0
57,24298,522,23,0,0.65,51058,110654,1
36,90204,302,18,3,0.6,86130,116693,0
35,106207,535,10,0,0.18,85639,249019,1
18,120356,764,0,2,0.23,12858,232207,1
31,75161,527,3,1,0.48,81538,9516,0
68,80652,798,37,1,0.27,71431,248521,1
64,54484,820,37,5,0.37,44324,28376,1
67,118614,438,35,1,0.41,50944,89853,1
19,149572,575,0,3,0.5,91687,49968,0
45,132695,590,21,1,0.24,76455,154018,1
66,40922,352,39,3,0.17,45187,211885,1
67,54028,409,40,3,0.35,88463,31365,1
47,131461,303,20,0,0.11,29147,160531,1
55,40316,346,24,1,0.45,78914,101100,1
68,96996,393,38,4,0.68,88081,61350,0
21,36968,512,0,1,0.14,79593,21588,1
18,50266,735,0,1,0.13,2360,151112,1
25,145679,807,6,1,0.11,3048,153197,1
46,115745,504,25,5,0.69,40020,264252,0
56,44000,680,22,4,0.11,44935,166831,0
20,143239,372,0,4,0.79,23482,77585,0
49,34011,815,23,3,0.32,92199,217124,1
27,22866,375,0,4,0.3,33973,271881,0
27,132669,376,0,3,0.12,16185,55257,1
36,25898,709,10,0,0.49,20699,241206,1
63,38395,405,32,3,0.49,56885,277159,0
51,59019,850,21,1,0.42,42582,64991,1
50,123243,775,27,2,0.28,19061,151167,1
40,24006,574,19,2,0.33,78015,151125,0
45,54393,387,11,5,0.29,45597,167591,0
49,30956,376,29,1,0.37,11892,113702,1
67,70042,376,36,3,0.31,24931,207914,1
24,116199,741,0,1,0.56,25654,17573,1
46,26078,839,16,5,0.27,89478,22248,0
25,49631,544,0,4,0.31,59820,284085,0
18,115676,681,0,3,0.38,54886,21124,0
20,141724,441,0,1,0.05,73470,8819,1
41,82901,667,8,4,0.42,96269,100822,0
40,127227,383,21,5,0.24,86148,16164,0
25,89497,442,0,4,0.09,98391,37701,0
64,114813,651,30,3,0.73,75842,218083,0
54,137192,844,34,5,0.29,66324,112747,1
20,61574,451,1,5,0.37,83080,185509,0
68,138494,457,40,5,0.67,66027,213106,1
50,51417,745,31,0,0.18,2425,168941,1
45,108020,602,26,5,0.69,2733,127857,0
64,103639,749,38,0,0.23,46375,9235,1
25,85006,523,2,4,0.49,65411,247498,0
51,114881,342,22,0,0.56,11603,17015,1
52,131862,563,26,4,0.73,13152,19601,0
49,59454,302,25,0,0.51,16801,274653,1
41,21587,567,12,4,0.39,85442,45975,0
31,141688,315,9,4,0.48,57318,294103,0
49,128107,633,16,5,0.2,95973,268053,0
63,135584,763,40,5,0.57,17985,136190,1
60,74710,358,31,4,0.19,93471,73649,1
33,143157,476,7,5,0.47,22068,109457,0
21,106567,362,0,4,0.54,14531,219483,0
69,111748,606,40,5,0.72,35288,23480,0
54,95886,545,25,2,0.39,92017,275088,1
38,38816,588,18,0,0.63,92762,40022,1
31,105824,631,0,4,0.18,67653,53707,0
48,49432,826,24,1,0.17,99197,191327,1
65,129758,554,38,5,0.44,41068,223250,0
35,68617,809,3,5,0.5,13459,33708,0
24,92373,762,5,3,0.52,87641,63823,0
27,54217,498,0,1,0.61,86000,201737,0
24,40884,570,3,1,0.27,33554,257514,0
50,25454,363,32,2,0.52,71313,154227,1
40,94960,529,21,0,0.19,77968,265754,1
38,122421,548,19,2,0.21,15271,287982,1
36,127173,545,15,0,0.1,4801,159226,1
65,63618,456,40,4,0.61,73593,35294,1
36,103948,387,2,2,0.43,27511,133557,0
53,82671,612,22,3,0.23,74046,258010,0
46,67111,365,27,0,0.47,74635,79233,1
35,59613,319,2,2,0.32,81729,115367,0
19,105678,332,0,3,0.68,56233,75254,0
18,140592,372,0,1,0.45,21011,286204,0
64,122928,642,40,5,0.07,63963,136168,1
22,144917,432,3,4,0.79,49900,239777,0
37,79993,354,18,4,0.11,21764,16058,0
28,148652,360,6,1,0.57,52694,148290,0
59,28848,819,38,2,0.38,70986,205571,1
19,134853,571,0,5,0.24,81085,51622,0
20,98672,545,0,1,0.56,7960,179446,0
40,139279,475,13,3,0.14,17583,121455,0
29,86125,616,2,5,0.69,73532,96628,0
37,106444,430,19,0,0.24,85103,53316,1
22,137509,401,0,2,0.32,15201,148358,1
54,81602,609,26,5,0.52,71579,68539,0
55,92045,591,36,0,0.05,61019,34235,1
47,125997,794,23,1,0.4,21420,213203,1
26,62222,660,5,4,0.72,41602,30552,0
51,69223,637,21,5,0.56,53645,280773,0
61,130012,309,31,5,0.34,54124,195000,0
52,131246,348,18,0,0.55,50031,100461,0
69,85333,786,40,0,0.75,13629,148915,1
39,72732,620,16,4,0.19,58731,102571,1
61,142650,432,40,0,0.45,29675,291132,1
41,69420,382,16,0,0.23,2662,234594,1
34,95504,356,0,5,0.69,81270,85513,0
27,22462,675,0,4,0.59,8589,144023,0
47,29460,648,23,4,0.65,50364,96607,0
63,119319,570,30,5,0.76,5655,295859,0
40,145602,782,16,1,0.22,75285,197365,1
49,29275,410,15,1,0.09,11797,185288,1
34,114213,375,13,5,0.27,98466,42109,0
67,33269,457,38,0,0.35,7645,182736,1
68,149593,831,38,2,0.52,78431,227908,1
34,142672,628,13,1,0.65,35762,130085,1
31,85942,421,13,1,0.31,48634,24369,1
26,92920,340,8,5,0.41,22432,239970,0
57,140737,466,33,5,0.64,48890,226009,0
19,42553,322,0,2,0.22,83394,115150,0
62,44366,578,40,2,0.21,60111,218996,1
42,64036,768,9,4,0.49,74769,285650,0
56,37369,699,24,5,0.38,44611,199697,0
26,31795,308,3,1,0.76,98540,214374,0
39,90021,312,20,3,0.32,27671,271125,0
60,127205,351,34,3,0.62,37760,263434,1
63,88154,508,40,0,0.49,94977,24789,1
21,50143,849,0,1,0.09,29233,98046,1
43,49425,701,15,3,0.11,38591,217130,1
46,108209,490,16,1,0.2,68804,171887,1
62,95139,350,34,5,0.16,92756,31497,1
51,125232,692,26,1,0.3,51091,101060,1
40,25368,599,16,3,0.48,5438,180031,0
54,24621,495,21,1,0.5,85905,170857,1
28,78829,716,8,2,0.49,46896,149438,0
23,149036,719,0,0,0.14,93139,42649,1
35,80294,821,3,4,0.5,12319,163000,0
38,34719,655,4,3,0.36,81258,91117,0
59,49227,447,31,5,0.73,7028,291249,0
53,129430,664,31,4,0.73,26940,24843,0
58,27566,663,25,0,0.63,97984,115250,1
55,32306,701,23,2,0.58,9422,243799,0
51,73822,791,24,2,0.14,52651,131000,1
34,44042,528,3,2,0.11,60648,221581,0
54,35086,836,35,2,0.68,44441,111643,0
42,37387,567,9,3,0.37,21688,213243,1
55,47042,704,30,3,0.39,47280,288601,1
29,109424,310,0,1,0.69,15472,234023,0
40,71618,619,13,5,0.52,81436,216442,0
59,112050,425,37,1,0.18,36671,238626,1
39,38323,605,6,5,0.21,61809,91245,0
38,38019,810,9,0,0.05,74299,5157,1
44,95426,388,14,1,0.58,11960,126399,1
48,60863,654,22,0,0.41,77620,215070,1
23,140953,651,0,0,0.76,3074,79493,0
44,131023,313,15,0,0.59,74361,73148,0
57,30283,556,35,2,0.13,35833,148092,1
51,38279,508,22,4,0.17,91741,297391,0
29,66999,580,11,4,0.43,36976,5443,1
62,82780,742,29,3,0.74,71210,43741,0
24,42908,688,0,0,0.24,66658,270054,1
27,81584,782,1,2,0.67,51108,49169,0
62,146278,446,32,1,0.28,22480,284453,1
34,133002,578,0,1,0.25,51138,99499,1
43,70225,820,9,3,0.73,10443,160307,0
38,57952,733,17,3,0.09,70969,119360,1
45,120706,443,14,0,0.55,1990,191154,1
63,57663,588,39,0,0.08,72092,211034,1
19,142019,685,0,1,0.65,93198,270066,1
60,129708,313,40,1,0.67,62336,294915,1
18,81381,556,0,1,0.72,30097,202527,0
68,67929,645,36,1,0.19,71245,42772,1
53,29343,644,25,4,0.14,90893,80494,1
68,96173,699,40,0,0.43,20186,141647,1
43,120260,506,24,0,0.25,52356,254468,1
46,59791,471,25,1,0.5,85744,117498,1
38,49134,763,4,2,0.44,89015,59080,1
28,132366,569,0,1,0.16,94014,212471,1
57,67101,520,32,5,0.6,13922,86393,0
28,89443,451,0,3,0.65,93615,254159,0
53,119111,482,32,5,0.77,31766,37309,0
66,77530,698,40,2,0.35,20787,132984,1
56,66799,371,35,3,0.3,23537,38368,1
57,24827,717,37,2,0.19,76919,82670,1
52,116143,582,29,3,0.19,54034,249666,1
51,82653,373,27,1,0.29,98431,133450,1
64,33699,654,33,1,0.79,46542,278724,1
41,122828,796,12,2,0.12,4207,25966,1
39,133497,627,6,3,0.24,29234,217645,0
22,111419,834,0,4,0.11,31568,204394,0
50,134527,746,31,2,0.26,69633,89615,1
53,136972,672,23,2,0.12,85558,282375,1
64,25313,661,39,5,0.43,55703,38399,0
37,33598,392,4,0,0.38,53623,205050,1
36,131362,620,15,2,0.18,54454,245601,1
52,135445,623,19,4,0.18,82504,201597,1
69,48807,683,40,1,0.52,77685,136097,1
60,90423,645,39,3,0.34,61631,146473,1
34,89390,402,1,0,0.09,76253,118172,1
62,65226,514,32,3,0.74,17642,265978,0
60,79550,491,38,1,0.35,80176,11553,1
51,100072,493,19,2,0.49,83373,274899,1
26,23558,679,1,5,0.71,9990,214992,0
43,95308,702,19,4,0.35,54622,229086,0
19,70113,310,0,0,0.67,52663,181136,1
26,72999,486,2,4,0.74,5170,51669,0
26,75878,314,2,4,0.18,25817,216061,0
57,56343,596,30,4,0.72,6136,140869,0
34,78219,710,3,4,0.14,2712,83053,0
18,55186,351,0,1,0.26,95330,21943,0
42,56966,327,18,4,0.66,74687,113374,0
60,53769,316,36,5,0.73,53479,31831,0
57,139932,650,33,4,0.56,11473,123602,0
59,146264,727,37,1,0.13,81839,291958,1
42,125423,528,24,3,0.44,86031,196330,0
56,73218,509,25,1,0.48,22625,211271,1
52,39229,730,22,5,0.26,14761,223404,0
20,95209,593,0,5,0.79,75454,20784,0
67,47877,403,40,2,0.3,2821,238988,1
54,78001,503,27,1,0.21,49646,179169,1
61,117137,352,27,3,0.13,37200,19072,0
61,58084,674,38,2,0.33,84889,279170,1
68,101780,353,36,2,0.57,49250,237467,0
47,112892,575,15,0,0.22,85304,57832,1
55,36806,634,22,4,0.63,37447,36041,0
51,108635,330,26,2,0.15,30184,205106,1
29,130177,434,0,2,0.38,50754,150977,0
36,57034,357,16,5,0.58,17811,108810,0
54,60317,404,31,3,0.15,27595,226447,1
61,75468,565,36,2,0.5,92568,127343,1
66,39094,821,33,3,0.65,18757,217554,1
34,77796,795,2,4,0.5,12954,59100,0
27,30589,552,0,5,0.43,96329,107169,0
66,77221,594,34,0,0.68,62349,107800,1
64,144855,457,34,0,0.79,38930,124140,1
29,21657,848,4,4,0.19,93342,214330,0
33,118300,366,2,4,0.57,89760,95230,0
41,137229,598,13,5,0.11,95772,233519,0
36,59531,762,13,5,0.08,4811,149382,0
25,72227,400,7,1,0.26,31368,105699,0
48,23164,355,29,2,0.78,33719,94591,0
38,113078,631,8,2,0.46,9637,216482,0
34,103973,692,16,2,0.25,13133,264584,1
40,61247,680,19,3,0.15,47986,167989,1
54,124041,391,35,1,0.74,29871,190738,1
33,39601,746,0,2,0.32,94107,137774,0
23,113966,408,3,3,0.28,42472,62873,0
25,70599,616,0,3,0.69,59333,281681,0
42,91545,467,20,0,0.5,56508,86428,1
35,135295,734,10,3,0.18,2401,33544,1
42,24552,741,13,4,0.37,11004,126875,1
29,136452,517,0,5,0.75,99849,251648,0
32,29417,521,14,3,0.73,36301,115024,0
43,78579,827,25,4,0.1,94544,209698,1
58,127525,577,26,4,0.25,6901,269313,0
62,88207,765,28,0,0.17,70621,277567,1
43,92055,329,24,0,0.45,68751,178875,1
64,122266,658,30,3,0.61,49809,254411,1
49,98270,587,23,0,0.27,82299,98988,1
27,131426,385,0,0,0.62,59171,275161,1
33,137865,533,12,5,0.55,68720,37948,0
24,23722,612,0,2,0.6,65744,96529,0
34,90442,664,13,3,0.76,11354,37219,0
40,115632,568,16,3,0.37,59860,166932,0
43,60031,430,12,3,0.31,10504,256531,0
38,99235,650,12,0,0.56,55320,157135,1
39,41438,479,21,5,0.66,4523,202894,0
24,78819,779,6,0,0.19,75243,105494,1
31,63856,462,10,4,0.69,87703,177738,0
32,53576,395,14,1,0.09,34787,114713,1
24,61938,809,0,1,0.05,92407,292013,1
26,69028,664,7,1,0.17,24982,252321,1
68,79807,652,36,2,0.78,2049,34093,1
65,69877,735,40,0,0.44,14381,257320,1
25,117783,382,0,4,0.08,68876,155634,0
67,63461,524,33,4,0.8,49390,73925,0
40,113474,711,10,1,0.61,13061,244674,1
46,60469,417,26,5,0.68,72241,106367,0
35,103136,781,14,2,0.21,51296,60553,1
48,40435,491,27,2,0.13,25014,62279,1
47,104117,406,19,1,0.44,65535,40608,1
69,34191,681,40,1,0.63,66191,65840,1
56,104726,689,28,0,0.53,52576,15770,1
52,143658,543,24,5,0.52,29147,60461,0
35,135660,767,8,2,0.62,69020,293771,0
59,47386,837,37,4,0.22,57148,273290,1
56,51721,509,26,1,0.55,2745,63074,0
34,74786,372,5,0,0.34,23148,159323,1
31,33704,608,4,4,0.1,17216,99771,0
48,76635,485,24,2,0.2,99083,175185,1
41,22123,552,12,1,0.65,42929,189783,1
52,110710,312,20,5,0.72,63637,280466,0
61,129837,598,39,1,0.26,60991,12747,1
62,134912,375,31,5,0.19,23012,261632,1
51,82993,350,22,0,0.07,67313,119702,1
20,132752,448,0,0,0.76,10525,245696,0
54,100122,421,32,2,0.56,44348,63697,1
60,117512,510,27,5,0.77,61447,40903,0
57,45416,579,28,1,0.7,69650,203885,1
43,21814,837,21,0,0.31,87030,203264,1
40,98537,455,7,1,0.13,67881,55812,1
61,70258,537,32,2,0.42,3041,39531,0
56,36508,675,37,5,0.07,80866,259493,1
32,105166,381,9,1,0.16,79734,151485,1
66,98916,791,40,4,0.23,52826,176705,0
21,133710,655,0,1,0.55,76283,256598,0
46,55699,572,19,3,0.43,18073,208518,0
39,66335,343,5,3,0.28,96822,65032,0
42,66806,422,11,2,0.47,29028,106058,0
30,97853,648,0,2,0.14,92646,78637,1
35,83768,629,10,2,0.62,24440,209675,0
50,55739,708,30,4,0.58,33887,164307,0
33,54785,622,0,5,0.21,39937,75744,0
62,51980,410,38,4,0.5,66045,248553,0
59,109335,388,29,1,0.43,62503,80961,1
61,120719,732,28,0,0.1,78782,295629,1
19,114702,398,0,5,0.26,28428,103059,0
52,105016,838,31,3,0.8,2613,149254,0
59,21609,445,32,3,0.12,49343,207830,1
51,86253,556,21,3,0.43,74159,19480,1
47,105481,488,20,1,0.69,61127,193032,0
30,111128,539,0,1,0.28,53088,187285,1
30,48141,802,1,2,0.25,72195,68094,1
35,50009,570,17,0,0.72,46023,181129,1
49,147581,819,25,2,0.28,30653,236939,1
49,130966,849,23,1,0.54,78616,109513,1
52,26782,413,27,4,0.61,78512,282933,0
56,112072,638,26,2,0.64,16718,125497,0
63,119352,658,32,5,0.8,75877,241775,0
69,45933,633,40,1,0.65,55219,31287,1
46,97154,468,21,1,0.54,54954,282158,1
66,28307,638,33,4,0.72,17296,22467,0
46,112207,560,18,4,0.73,27285,190426,0
61,126209,498,28,4,0.78,53310,82897,0
33,128297,510,2,0,0.63,15134,201037,1
61,95874,586,40,5,0.2,54642,90417,1
64,58346,771,40,1,0.58,95873,289024,1
27,132138,781,7,4,0.11,1455,262266,0
47,70772,322,26,0,0.29,74179,124618,1
42,92084,408,20,3,0.14,71156,293123,0
56,60149,595,29,5,0.76,9867,53741,0
37,106700,305,18,3,0.3,26577,280504,1
22,47526,849,0,3,0.58,29647,241615,0
18,116758,502,0,1,0.48,49894,94059,0
47,105712,624,25,0,0.13,92007,175282,1
66,148447,543,40,0,0.47,71635,298597,1
20,88477,626,0,3,0.55,14887,145347,0
62,25695,346,33,5,0.71,44314,166124,0
31,59169,312,2,2,0.1,49203,232669,0
47,67947,679,14,3,0.27,94205,169813,0
67,67224,664,33,1,0.57,1059,244370,1
21,65865,641,0,3,0.08,13673,53162,0
35,45553,520,1,5,0.2,56351,231838,0
54,124501,372,20,5,0.21,89231,299343,0
42,80410,345,23,3,0.55,72067,22572,0
65,123754,803,40,0,0.26,69300,270587,1
18,110895,573,0,3,0.5,2794,246502,0
63,44816,507,29,4,0.77,11721,99521,0
32,75026,423,3,4,0.64,60286,76220,0
26,70705,309,7,2,0.3,6686,280739,0
32,81922,628,9,1,0.4,48443,71857,1
66,135700,486,40,1,0.2,96003,281954,1
41,93914,842,19,0,0.06,65263,252783,1
21,21881,359,0,1,0.27,63722,142812,0
29,59567,741,4,2,0.33,53573,37712,0
54,67365,516,29,4,0.47,13888,10468,0
54,147928,301,31,0,0.76,40348,134468,1
60,99211,835,40,5,0.76,14533,279848,0
23,90122,655,1,4,0.1,22916,70974,1
56,45006,464,30,2,0.51,62422,70700,1
63,61198,390,39,0,0.08,51525,134443,1
41,42831,466,20,3,0.54,4553,193059,0
28,120649,506,4,1,0.14,9144,172177,1
30,36459,581,8,2,0.76,92045,153443,0
51,52443,364,23,0,0.7,60931,222604,1
42,62316,815,10,4,0.07,64712,295897,0
24,116131,456,5,0,0.64,6437,90765,0
69,84486,605,39,3,0.53,91083,65630,1
21,25877,694,0,2,0.42,33518,160675,0
25,59553,373,1,0,0.5,24830,244592,0
37,134137,486,12,5,0.56,75285,159380,0
46,24922,636,23,2,0.71,47553,107897,1
68,142778,539,40,2,0.63,88885,298400,1
62,137018,832,38,4,0.48,95825,187713,1
63,24686,440,40,1,0.67,6915,162505,1
27,52766,564,5,5,0.79,29695,34731,0
60,99943,438,40,3,0.28,76270,11401,1
51,52006,758,19,0,0.14,15703,127992,1
43,51422,369,23,1,0.6,89035,105041,1
58,136590,684,33,4,0.78,22478,154517,0
66,148886,497,40,1,0.14,68918,162042,1
20,32205,504,0,2,0.37,31128,198962,0
23,106590,730,0,2,0.1,54250,254319,1
22,43527,624,3,3,0.63,92119,190685,0
22,131483,741,0,5,0.76,38126,37235,0
64,38443,587,34,0,0.42,47799,15428,1
40,36524,525,12,0,0.36,95228,183257,1
66,136477,363,40,4,0.73,59248,173893,0
26,48202,797,0,3,0.15,33907,184073,1
52,85552,359,19,0,0.72,8644,221006,1
37,66142,696,11,5,0.34,35583,118020,0
66,81692,556,40,2,0.47,55560,44633,1
59,102384,538,31,3,0.45,16185,224464,1
52,40855,337,26,1,0.51,42988,127104,1
67,103747,324,39,3,0.76,11446,281551,0
35,80372,709,5,3,0.76,24162,154152,0
34,45095,760,15,5,0.67,15150,78860,0
41,58724,716,10,5,0.19,42304,274551,0
20,69241,656,0,0,0.3,96373,9220,1
49,123119,682,24,4,0.42,37003,27554,0
52,72003,457,19,4,0.73,52746,214102,0
55,88379,732,26,5,0.44,67923,82021,1
30,114837,347,2,0,0.78,78745,70847,0
64,111996,627,40,0,0.79,1983,97541,1
42,117454,732,22,0,0.5,48114,108738,1
26,114283,730,0,5,0.71,98687,152052,0
21,35972,355,2,4,0.8,52274,263343,0
31,143805,567,3,0,0.69,88339,251161,0
54,113846,368,34,5,0.54,20378,201729,0
51,42927,748,33,1,0.68,8548,38518,1
28,140589,556,10,1,0.11,40621,54257,1
58,135657,789,29,2,0.53,67311,274078,1
20,86630,348,0,1,0.21,87901,82895,1
45,124428,615,23,3,0.14,97243,122926,1
46,142035,712,23,2,0.72,90673,284772,0
26,72347,733,0,1,0.53,22531,226259,0
20,119708,301,0,3,0.23,18870,290393,0
42,146244,444,13,1,0.34,50547,243577,1
51,108860,665,31,5,0.78,46738,128332,0
29,106210,719,10,3,0.7,68537,5765,0
59,89518,743,35,0,0.06,15756,88417,1
26,65283,733,7,5,0.78,58707,246300,0
32,101326,356,8,3,0.33,41830,122526,0
57,32205,477,29,5,0.57,94399,256796,0
42,140243,592,14,0,0.58,11046,173906,1
22,109874,345,0,3,0.73,24652,294143,0
28,32748,469,8,3,0.71,56029,175214,1
51,41097,570,20,5,0.26,37956,237125,0
41,23092,716,13,1,0.53,14886,114792,1
32,73311,438,11,3,0.35,87281,263522,0
55,42692,546,21,1,0.44,32823,266696,1
25,144954,447,0,3,0.47,39948,193001,0
22,43862,529,2,4,0.35,14322,34867,0
65,110396,673,38,2,0.4,74330,131040,1
43,99507,379,11,1,0.21,7162,128105,1
35,100152,364,10,1,0.51,83293,11286,0
23,90469,387,3,0,0.62,6905,162362,0
54,24926,387,30,4,0.37,95301,140221,0
65,111299,503,38,0,0.78,58483,195659,1
30,23969,681,4,4,0.09,39457,109152,1
45,55733,775,14,4,0.49,85940,110960,0
22,89855,838,0,5,0.49,16380,72881,0
30,61743,513,2,5,0.08,16508,158005,0
34,59876,373,16,5,0.22,20676,109984,0
67,127445,360,40,3,0.73,89796,210378,0
57,40323,842,34,0,0.46,73433,285226,1
62,36428,518,40,2,0.38,2564,15863,1
49,54578,311,29,4,0.36,14870,274128,0
46,106486,714,27,4,0.72,15219,60189,0
68,128577,331,40,1,0.33,82977,98039,1
20,84140,459,0,3,0.69,20880,174096,0
57,146378,536,23,2,0.28,11379,109855,1
51,127325,480,23,5,0.45,55294,54430,0
57,103829,640,28,4,0.16,3948,132652,1
44,26364,757,24,1,0.67,96129,40086,1
30,148867,379,7,0,0.6,36902,108651,1
62,55349,772,38,4,0.45,84507,281606,0
50,20691,411,32,1,0.07,9969,289467,1
23,146899,591,0,0,0.41,63805,23167,1
41,115598,682,11,3,0.22,21646,15067,0
36,86467,316,12,5,0.36,61566,191854,0
33,65896,792,7,0,0.69,56818,8226,1
57,77062,630,37,4,0.63,64451,41738,0
45,117266,785,16,2,0.23,4678,298799,1
50,99762,705,25,0,0.79,94055,285998,1
65,33861,416,39,2,0.73,69879,89811,1
58,116837,414,28,2,0.45,5014,211483,1
30,133779,848,5,0,0.45,6107,254811,1
60,108302,846,33,3,0.73,38423,33737,0
62,121710,635,28,0,0.53,33332,247478,1
42,83928,635,18,1,0.45,35010,143973,1
59,126643,446,25,5,0.61,89935,88094,0
53,135720,421,34,2,0.23,3661,15001,1
44,103231,380,24,5,0.71,5798,231069,0
55,61347,674,37,4,0.45,67076,232018,1
24,23121,362,0,2,0.5,23329,127600,0
22,103793,803,0,4,0.12,57060,64489,0
60,48164,748,30,1,0.28,26850,42896,1
62,45491,727,36,1,0.37,85705,231206,1
68,79222,726,40,5,0.36,4157,255616,0
48,43165,720,25,1,0.63,38485,262513,1
40,134250,621,13,0,0.26,6336,207768,1
59,23748,465,39,2,0.19,73701,179642,1
27,118581,760,5,4,0.49,94154,26185,0
49,46553,758,21,5,0.51,43280,206965,0
60,136547,488,33,5,0.14,53145,131734,0
47,80380,763,13,1,0.05,80290,85125,1
56,64331,678,35,1,0.74,6209,15037,1
48,116033,301,30,4,0.11,62402,170177,1
35,116844,663,4,2,0.72,81026,141492,0
53,140617,371,28,2,0.35,94137,218109,1
19,59560,726,0,5,0.54,8645,252857,0
31,73865,469,0,4,0.19,39508,105117,0
30,66686,504,11,5,0.67,58822,14779,0
46,95910,636,25,3,0.19,7018,16444,1
29,24675,771,11,2,0.34,51908,95654,1
56,86706,494,29,4,0.23,27374,180599,0
